type,device,instruction,input,output,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 接口的 IP 地址。,,ciscoasa(config)# interface GigabitEthernet0/1\nciscoasa(config-if)# ip address 192.168.1.1 255.255.255.0\nciscoasa(config-if)# no shutdown\nciscoasa(config-if)# exit" },
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的默认网关。,,ciscoasa(config)# route outside 0.0.0.0 0.0.0.0 192.168.1.254,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的 NAT,,"ciscoasa(config)# object network obj_any\nciscoasa(config-network-object)# nat (inside,outside) dynamic interface",
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的 ACL 以允许 HTTP 流量。,,ciscoasa(config)# access-list outside_access_in extended permit tcp any any eq 80\nciscoasa(config)# access-group outside_access_in in interface outside,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的静态路由。,,ciscoasa(config)# route inside 192.168.2.0 255.255.255.0 192.168.1.254,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 以允许内部网络访问外部网络。,,ciscoasa(config)# access-list inside_access_in extended permit ip 192.168.1.0 255.255.255.0 any\nciscoasa(config)# access-group inside_access_in in interface inside,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的 VPN 连接。,,ciscoasa(config)# crypto ikev2 enable outside\nciscoasa(config)# crypto ikev2 policy 1\nciscoasa(config-ikev2-policy)# encryption aes-cbc-256\nciscoasa(config-ikev2-policy)# integrity sha256\nciscoasa(config-ikev2-policy)# group 14\nciscoasa(config)# tunnel-group VPN-Group type ipsec-l2l\nciscoasa(config)# tunnel-group VPN-Group ipsec-attributes\nciscoasa(config-tunnel-ipsec)# pre-shared-key MySecretKey,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的 DHCP 服务器。,,ciscoasa(config)# dhcpd address 192.168.1.10-192.168.1.100 inside\nciscoasa(config)# dhcpd lease 3600,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的日志记录,,ciscoasa(config)# logging enable\nciscoasa(config)# logging trap notifications\nciscoasa(config)# logging buffer-size 4096,
基本防火墙,Cisco ASA (Adaptive Security Appliance),配置 Cisco ASA 的防火墙策略。,,ciscoasa(config)# policy-map global_policy\nciscoasa(config-pmap)# class inspection_default\nciscoasa(config-pmap-c)# inspect http\nciscoasa(config-pmap-c)# inspect dns preallow\nciscoasa(config)# service-policy global_policy global,
基本防火墙,Fortinet FortiGate,配置 FortiGate 接口的 IP 地址。,,config system interface\nedit internal1\nset ip 192.168.1.1 255.255.255.0\nset allowaccess ping https ssh http\nnext\nend" },
基本防火墙,Fortinet FortiGate,配置 FortiGate 的默认网关,,config router static\nedit 1\nset gateway 192.168.1.254\nset device internal1\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的 NAT，以允许内部网络通过外部接口访问互联网。,,config firewall policy\nedit 1\nset name \"NAT Policy\"\nset srcintf \"internal1\"\nset dstintf \"wan1\"\nset action accept\nset nat enable\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的 ACL，以允许 HTTP 流量,,config firewall policy\nedit 2\nset name \"Allow HTTP\"\nset srcintf \"internal1\"\nset dstintf \"wan1\"\nset action accept\nset schedule always\nset service HTTP\nnext\nend,
