type,device,json,instruction,input,output
高级防火墙,Cisco ASA (Adaptive Security Appliance),,配置静态 NAT 以允许内部服务器对外部可见。,内部服务器 IP 地址: 192.168.1.100，外部 IP 地址: 203.0.113.10。,"1. 进入配置模式:\n 指令: `configure terminal`\n\n2. 创建对象网络并定义内部 IP 地址:\n 指令: `object network obj_static_nat`\n `host 192.168.1.100`\n\n3. 定义外部 IP 地址并配置静态 NAT:\n 指令: `nat (inside,outside) static 203.0.113.10`\n\n4. 退出配置模式:\n 指令: `exit`"
,Cisco ASA (Adaptive Security Appliance),,配置访问控制列表以允许 HTTP 流量进入内部网络。,内部网络 IP 范围: 192.168.1.0/24，外部访问 IP 范围: 0.0.0.0/0。,1. 进入配置模式:\n 指令: `configure terminal`\n\n2. 创建访问控制列表 (ACL):\n 指令: `access-list ACL_INBOUND extended permit tcp any 192.168.1.0 255.255.255.0 eq 80`\n\n3. 应用 ACL 到外部接口:\n 指令: `access-group ACL_INBOUND in interface outside`\n\n4. 退出配置模式:\n 指令: `exit`
,Cisco ASA (Adaptive Security Appliance),,配置站点到站点 VPN。,本地网络: 192.168.1.0/24，远程网络: 10.10.10.0/24，远程 VPN 网关: 203.0.113.20。,1. 进入配置模式:\n 指令: `configure terminal`\n\n2. 创建 IKEv1 策略:\n 指令: `crypto ikev1 policy 10`\n `authentication pre-share`\n `encryption aes`\n `hash sha`\n `group 2`\n `lifetime 86400`\n\n3. 定义预共享密钥:\n 指令: `tunnel-group 203.0.113.20 type ipsec-l2l`\n `tunnel-group 203.0.113.20 ipsec-attributes`\n `pre-shared-key mysecretkey`\n\n4. 创建 IPSec 传输映射:\n 指令: `crypto ipsec ikev1 transform-set TS esp-aes esp-sha-hmac`\n\n5. 创建加密域并应用到传输映射:\n 指令: `crypto map MYMAP 10 ipsec-isakmp`\n `set peer 203.0.113.20`\n `set transform-set TS`\n `match address 100`\n\n6. 应用加密映射到外部接口:\n 指令: `interface outside`\n `crypto map MYMAP`\n\n7. 退出配置模式:\n 指令: `exit`
,Cisco ASA (Adaptive Security Appliance),,配置双因素身份验证。,双因素身份验证服务器 IP 地址: 192.168.1.200。,1. 进入配置模式:\n 指令: `configure terminal`\n\n2. 配置 AAA 服务器组:\n 指令: `aaa-server DUO_SERVER protocol radius`\n `aaa-server DUO_SERVER (inside) host 192.168.1.200`\n `key mysecretkey`\n\n3. 应用双因素身份验证到 VPN 连接:\n 指令: `tunnel-group DefaultRAGroup general-attributes`\n `authentication-server-group DUO_SERVER`\n\n4. 退出配置模式:\n 指令: `exit`
,Cisco ASA (Adaptive Security Appliance),,配置 DMZ 区域。,DMZ 网络 IP 范围: 192.168.2.0/24。,"1. 进入配置模式:\n 指令: `configure terminal`\n\n2. 配置 DMZ 接口并分配 IP 地址:\n 指令: `interface GigabitEthernet1/2`\n `nameif DMZ`\n `security-level 50`\n `ip address 192.168.2.1 255.255.255.0`\n\n3. 创建对象网络并定义 DMZ 网络范围:\n 指令: `object network obj_dmz`\n `subnet 192.168.2.0 255.255.255.0`\n\n4. 配置 NAT 以允许 DMZ 到外部网络的访问:\n 指令: `nat (DMZ,outside) dynamic interface`\n\n5. 退出配置模式:\n 指令: `exit`"
,Palo Alto Networks Next-Generation Firewall,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 进入配置模式:\n 指令: `configure`\n\n2. 进入虚拟路由配置:\n 指令: `set network virtual-router default`\n\n3. 添加静态路由:\n 指令: `set routing-table ip static-route route-to-10.1.1.0/24 interface ethernet1/1 next-hop 192.168.1.1`\n\n4. 提交配置:\n 指令: `commit`
,Palo Alto Networks Next-Generation Firewall,,配置安全策略以允许 HTTP 流量从信任区到非信任区。,源区域: trust，目标区域: untrust，服务: HTTP。,1. 进入配置模式:\n 指令: `configure`\n\n2. 创建新的安全策略:\n 指令: `set rulebase security rules allow-http`\n\n3. 设置源和目标区域:\n 指令: `set rulebase security rules allow-http from trust`\n `set rulebase security rules allow-http to untrust`\n\n4. 设置服务为 HTTP:\n 指令: `set rulebase security rules allow-http service application-default`\n\n5. 设置动作为允许:\n 指令: `set rulebase security rules allow-http action allow`\n\n6. 提交配置:\n 指令: `commit`
,Palo Alto Networks Next-Generation Firewall,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 进入配置模式:\n 指令: `configure`\n\n2. 创建 NAT 规则:\n 指令: `set rulebase nat rules nat-rule source zone trust`\n `set rulebase nat rules nat-rule destination zone untrust`\n\n3. 设置源地址翻译:\n 指令: `set rulebase nat rules nat-rule source translation dynamic-ip-and-port interface-address`\n `set rulebase nat rules nat-rule source translation dynamic-ip-and-port interface-address interface ethernet1/1`\n\n4. 提交配置:\n 指令: `commit`
,Palo Alto Networks Next-Generation Firewall,,配置SSL VPN以允许远程用户通过安全通道访问内部网络。,VPN 网关 IP 地址: 203.0.113.20。,1. 进入配置模式:\n 指令: `configure`\n\n2. 创建 VPN 区域:\n 指令: `set network zone VPN zone-type layer3`\n\n3. 配置 VPN 接口:\n 指令: `set network interface ethernet1/2 zone VPN`\n `set network interface ethernet1/2 ip 203.0.113.20/24`\n\n4. 配置 VPN 网关和 SSL 设置:\n 指令: `set global-protect global-protect-gateway gp-gateway external-gateway certificate gp-cert`\n `set global-protect global-protect-gateway gp-gateway external-gateway tunnel-interface ethernet1/2`\n\n5. 提交配置:\n 指令: `commit`
,Palo Alto Networks Next-Generation Firewall,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: 10.1.4。,1. 登录到防火墙 Web 界面。\n\n2. 导航到设备 > 软件。\n\n3. 检查更新并下载版本 10.1.4。\n\n4. 安装新固件。\n\n5. 提交配置并重启设备以应用更新。
